Kernel Name,Kernel Size,Section,Metric Name,Metric Unit,Value
sgemm_medium,2048.0,speed_of_light,SM Active Cycles,cycle,19378181.38
sgemm_medium,2048.0,speed_of_light,Compute (SM) Throughput,%,56.32
sgemm_medium,2048.0,launch_statistics,Block Size,,64
sgemm_medium,2048.0,launch_statistics,Function Cache Configuration,,CachePreferNone
sgemm_medium,2048.0,launch_statistics,Grid Size,,4096
sgemm_medium,2048.0,launch_statistics,Registers Per Thread,register/thread,65
sgemm_medium,2048.0,launch_statistics,Shared Memory Configuration Size,Kbyte,102.40
sgemm_medium,2048.0,launch_statistics,Driver Shared Memory Per Block,Kbyte/block,1.02
sgemm_medium,2048.0,launch_statistics,Dynamic Shared Memory Per Block,byte/block,0
sgemm_medium,2048.0,launch_statistics,Static Shared Memory Per Block,Kbyte/block,4.10
sgemm_medium,2048.0,launch_statistics,# SMs,SM,8
sgemm_medium,2048.0,launch_statistics,Threads,thread,262144
sgemm_medium,2048.0,launch_statistics,Uses Green Context,,0
sgemm_medium,2048.0,launch_statistics,Waves Per SM,,36.57
sgemm_medium,2048.0,occupancy,Block Limit SM,block,16
sgemm_medium,2048.0,occupancy,Block Limit Registers,block,14
sgemm_medium,2048.0,occupancy,Block Limit Shared Mem,block,20
sgemm_medium,2048.0,occupancy,Block Limit Warps,block,24
sgemm_medium,2048.0,occupancy,Theoretical Active Warps per SM,warp,28
sgemm_medium,2048.0,occupancy,Theoretical Occupancy,%,58.33
sgemm_medium,2048.0,occupancy,Achieved Occupancy,%,57.79
sgemm_medium,2048.0,occupancy,Achieved Active Warps Per SM,warp,27.74
sgemm_medium,2048.0,gpu_and_memory_workload,Average L1 Active Cycles,cycle,19378181.38
sgemm_medium,2048.0,gpu_and_memory_workload,Total L1 Elapsed Cycles,cycle,155240184
sgemm_medium,2048.0,gpu_and_memory_workload,Average L2 Active Cycles,cycle,19388445.25
sgemm_medium,2048.0,gpu_and_memory_workload,Total L2 Elapsed Cycles,cycle,77633856
sgemm_medium,2048.0,gpu_and_memory_workload,Average SM Active Cycles,cycle,19378181.38
sgemm_medium,2048.0,gpu_and_memory_workload,Total SM Elapsed Cycles,cycle,155240184
sgemm_medium,2048.0,gpu_and_memory_workload,Average SMSP Active Cycles,cycle,19390912.28
sgemm_medium,2048.0,gpu_and_memory_workload,Total SMSP Elapsed Cycles,cycle,620960736
sgemm_medium,3072.0,speed_of_light,SM Frequency,Mhz,306.00
sgemm_medium,3072.0,speed_of_light,Elapsed Cycles,cycle,65512638
sgemm_medium,3072.0,speed_of_light,Memory Throughput,%,91.05
sgemm_medium,3072.0,speed_of_light,Duration,s,0.21409
sgemm_medium,3072.0,speed_of_light,L1/TEX Cache Throughput,%,91.02
sgemm_medium,3072.0,speed_of_light,L2 Cache Throughput,%,65.51
sgemm_medium,3072.0,speed_of_light,SM Active Cycles,cycle,65478483.12
sgemm_medium,3072.0,speed_of_light,Compute (SM) Throughput,%,56.27
sgemm_medium,3072.0,launch_statistics,Block Size,,64
