Kernel Name,Kernel Size,Section,Metric Name,Metric Unit,Value
ft_sgemm_medium,8192.0,launch_statistics,# SMs,SM,8
ft_sgemm_medium,8192.0,launch_statistics,Threads,thread,4194304
ft_sgemm_medium,8192.0,launch_statistics,Uses Green Context,,0
ft_sgemm_medium,8192.0,launch_statistics,Waves Per SM,,512
ft_sgemm_medium,8192.0,occupancy,Block Limit SM,block,16
ft_sgemm_medium,8192.0,occupancy,Block Limit Registers,block,16
ft_sgemm_medium,8192.0,occupancy,Block Limit Shared Mem,block,19
ft_sgemm_medium,8192.0,occupancy,Block Limit Warps,block,24
ft_sgemm_medium,8192.0,occupancy,Theoretical Active Warps per SM,warp,32
ft_sgemm_medium,8192.0,occupancy,Theoretical Occupancy,%,66.67
ft_sgemm_medium,8192.0,occupancy,Achieved Occupancy,%,66.45
ft_sgemm_medium,8192.0,occupancy,Achieved Active Warps Per SM,warp,31.90
ft_sgemm_medium,8192.0,gpu_and_memory_workload,Average L1 Active Cycles,cycle,5341871381.25
ft_sgemm_medium,8192.0,gpu_and_memory_workload,Total L1 Elapsed Cycles,cycle,42659829120
ft_sgemm_medium,8192.0,gpu_and_memory_workload,Average L2 Active Cycles,cycle,5502467699.25
ft_sgemm_medium,8192.0,gpu_and_memory_workload,Total L2 Elapsed Cycles,cycle,22030203560
ft_sgemm_medium,8192.0,gpu_and_memory_workload,Average SM Active Cycles,cycle,5341871381.25
ft_sgemm_medium,8192.0,gpu_and_memory_workload,Total SM Elapsed Cycles,cycle,42659829120
ft_sgemm_medium,8192.0,gpu_and_memory_workload,Average SMSP Active Cycles,cycle,5357909812.03
ft_sgemm_medium,8192.0,gpu_and_memory_workload,Total SMSP Elapsed Cycles,cycle,170639316480
